00:13:01 :Camail_!~Camail@38.69.8.163 NICK :Camail
06:05:47 :BioSC!~Bio@108-72-10-1.lightspeed.stlsmo.sbcglobal.net NICK :BioSleep
09:33:30 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
10:37:36 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
17:02:35 :BioSleep!~Bio@108-72-10-1.lightspeed.stlsmo.sbcglobal.net NICK :BioSC
17:49:23 :BioSC!~Bio@108-72-10-1.lightspeed.stlsmo.sbcglobal.net NICK :BioWork
20:37:20 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
21:00:08 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
21:01:54 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
21:31:55 :BioWork!~Bio@108-72-10-1.lightspeed.stlsmo.sbcglobal.net NICK :BioSC
22:13:41 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
22:14:45 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
22:26:40 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
22:26:45 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
