02:20:01 :BioGone!~Bio@108-72-8-48.lightspeed.stlsmo.sbcglobal.net NICK :BioSC
07:12:21 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
07:20:04 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
10:34:42 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
10:34:57 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
11:43:10 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
11:43:21 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
11:50:16 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
11:50:30 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
12:19:59 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
12:20:16 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
12:47:45 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
12:48:01 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
13:02:27 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
13:03:46 :Yoltphone-afk!~Yoltphone@163.172.13.223 NICK :Yoltphone
13:03:57 :Yoltphone!~Yoltphone@163.172.13.223 NICK :Yoltphone-afk
